Country Name,Indicator Name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
北京市,人均GPD,140211,128994,118198,106497,99995,94648,87475,81658,73856,66940
天津市,人均GPD,120711,118944,115053,107960,105231,100105,93173,85213,72994,62574
河北省,人均GPD,47772,45387,43062,40255,39984,38909,36584,33969,28668,24581
山西省,人均GPD,45328,42060,35532,34919,35070,34984,33628,31357,26283,21522
内蒙古自治区,人均GPD,68302,63764,72064,71101,71046,67836,63886,57974,47347,39735
辽宁省,人均GPD,58008,53527,50791,65354,65201,61996,56649,50760,42355,35149
吉林省,人均GPD,55611,54838,53868,51086,50160,47428,43415,38460,31599,26595
黑龙江省,人均GPD,43274,41916,40432,39462,39226,37697,35711,32819,27076,22447
上海市,人均GPD,134982,126634,116562,103796,97370,90993,85373,82560,76074,69165
江苏省,人均GPD,115168,107150,96887,87995,81874,75354,68347,62290,52840,44253
浙江省,人均GPD,98643,92057,84916,77644,73002,68805,63374,59249,51711,43842
安徽省,人均GPD,47712,43401,39561,35997,34425,32001,28792,25659,20888,16408
福建省,人均GPD,91197,82677,74707,67966,63472,58145,52763,47377,40025,33437
江西省,人均GPD,47434,43424,40400,36724,34674,31930,28800,26150,21253,17335
山东省,人均GPD,76267,72807,68733,64168,60879,56885,51768,47335,41106,35894
河南省,人均GPD,50152,46674,42575,39123,37072,34211,31499,28661,24446,20597
湖北省,人均GPD,66616,60199,55665,50654,47145,42826,38572,34197,27906,22677
湖南省,人均GPD,52949,49558,46382,42754,40271,36943,33480,29880,24719,20428
广东省,人均GPD,86412,80932,74016,67503,63469,58833,54095,50807,44736,39436
广西壮族自治区,人均GPD,41489,38102,38027,35190,33090,30741,27952,25326,20219,16045
海南省,人均GPD,51955,48430,44347,40818,38924,35663,32377,28898,23831,19254
重庆市,人均GPD,65933,63442,58502,52321,47850,43223,38914,34500,27596,22920
四川省,人均GPD,48883,44651,40003,36775,35128,32617,29608,26133,21182,17339
贵州省,人均GPD,41244,37956,33246,29847,26437,23151,19710,16413,13119,10971
云南省,人均GPD,37136,34221,31093,28806,27264,25322,22195,19265,15752,13539
西藏自治区,人均GPD,43398,39267,35184,31999,29252,26326,22936,20077,17027,15008
陕西省,人均GPD,63477,57266,51015,47626,46929,43117,38564,33464,27133,21947
甘肃省,人均GPD,31336,28497,27643,26165,26433,24539,21978,19595,16113,13269
青海省,人均GPD,47689,44047,43531,41252,39671,36875,33181,29522,24115,19454
宁夏回族自治区,人均GPD,54094,50765,47194,43805,41834,39613,36394,33043,26860,21777
新疆维吾尔自治区,人均GPD,49475,44941,40564,40036,40648,37553,33796,30087,25034,19942
